program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_10,15,6155.14,31,223,26949412734,5739782922,6223963,5656750837,15647899,3778,3994676044,3430176,5658408991,142922,26947205326,58230
ADD_10,16,6131.99,43,219,26938816119,5736454443,6229118,5655033259,10276674,958,3994933191,3360904,5661438007,138644,26960170940,57482
ADD_10,17,6139.01,37,217,26935502967,5736246253,6237603,5655989953,10782486,318,3995212542,3482026,5660539931,139378,26948938560,59025
ADD_10,18,6130.27,18,217,26957800149,5741172257,6219824,5655359274,10521414,360,3991642492,3273556,5659081573,139278,26955072215,92906
ADD_10,19,6141.77,22,216,26948736490,5738901666,6218644,5656521159,11755634,276,3993521115,3321064,5659663431,138622,26949206399,89666
ADD_25,0,6301.31,24,227,28040980663,5936166122,6232257,5953460010,13171084,3744,4115676009,3820310,5964293764,144858,28053260972,56745
ADD_25,1,6298.49,25,222,28027972465,5934130498,6221002,5956066846,13358869,159,4115834864,3790614,5960823620,145076,28041658602,58817
ADD_25,2,6337.06,36,223,28031526743,5933823235,6240521,5956783424,11953298,1909,4115774762,3716259,5961864784,144042,28045237923,58033
ADD_25,3,6310.93,41,223,28016417569,5932850263,6224024,5958126877,11117012,4852,4119049571,3852845,5959167495,143841,28025862334,59612
ADD_25,4,6332.73,24,229,28025387070,5933297124,6228233,5956478222,15113813,444,4116668508,3590924,5962345067,145515,28038151739,58984
ADD_25,5,6324.05,21,227,28033255242,5934708273,6221002,5957599471,14307908,145,4114646623,3758666,5958971383,144896,28042645053,59034
ADD_25,6,6312.85,28,227,28025340391,5933917506,6236315,5956889348,11883468,3144,4118348564,3721016,5961563100,150728,28037439120,58902
ADD_25,7,6305.51,17,228,28013837878,5932153189,6225027,5957644361,15667951,3715,4117625338,3709460,5960756391,145129,28036108396,58059
ADD_25,8,6311.66,32,223,28027448578,5934648040,6227381,5958255845,14691787,3856,4117339562,3997765,5960708223,145965,28036722209,91340
ADD_25,9,6322.33,18,227,28010085748,5930821941,6227242,5957256651,15278864,285,4119786682,3468192,5962086420,145181,28029599980,91676
ADD_25,10,6291.43,30,228,28027801054,5932417159,6221123,5956307581,12541825,848,4117975126,3924543,5961030595,148966,28041280023,60076
ADD_25,11,6313.52,40,225,28027819864,5935050679,6229838,5958941376,11812882,5104,4115140425,3923187,5958583965,144000,28030699166,58460
ADD_25,12,6327.26,30,222,28027907257,5933494312,6232233,5956729707,13625037,90,4115843673,3960174,5961668880,145737,28041768126,59190
ADD_25,13,6325.94,41,224,28021669674,5932663744,6230910,5957440396,12766312,1814,4116585843,3586347,5958703976,148065,28035196025,58600
ADD_25,14,6346.32,23,225,28031092607,5932933895,6227232,5954069898,13275702,503,4116286820,3752716,5963853908,143225,28054397276,55600
ADD_25,15,6307.90,23,227,28021944276,5933950139,6226801,5958132940,15250081,3082,4116789555,3430411,5959236428,139222,28036191138,57766
ADD_25,16,6299.21,36,227,28028337064,5933679645,6232953,5957167740,13077949,292,4115299771,3567973,5960215983,149246,28031572177,60723
ADD_25,17,6311.54,32,225,28025024715,5932630269,6223992,5956135415,12424420,4754,4116598932,3613946,5961726716,144152,28041347126,93331
ADD_25,18,6324.43,34,226,28018320531,5931545470,6229955,5955566565,13418494,1156,4118910988,3879172,5962036130,143154,28036062987,60173
ADD_25,19,6316.43,35,226,28020726783,5932959181,6225553,5956889851,17037410,3831,4119141509,3533184,5960549668,142744,28036258027,58250
ADD_15,0,6152.81,18,227,27138127173,5763953525,6215275,5726691580,9623954,3269,4007633405,3617565,5730267918,140187,27151372178,55900
ADD_15,1,6161.50,27,224,27151292676,5766774577,6222580,5728308080,11634563,996,4003145177,3591596,5728822205,139873,27146118956,57725
ADD_15,2,6162.73,22,223,27132775578,5762077803,6214798,5727019837,12305763,4655,4007427760,3359234,5730289685,139202,27150268835,56844
ADD_15,3,6143.68,26,227,27139810126,5764087680,6223187,5725270939,8927956,1724,4007668181,3685044,5732360855,141203,27151842700,56938
ADD_15,4,6171.10,20,229,27135859907,5764658015,6225887,5729331289,12269743,457,4005974047,3340393,5726298161,141305,27136931631,88752
ADD_15,5,6153.16,27,226,27140571325,5764946570,6227557,5726228744,14012962,3850,4005540929,3332358,5731721474,142960,27151930048,88722
ADD_15,6,6155.78,31,224,27132221013,5762190318,6232104,5726823940,11415096,3078,4006975525,3338796,5732822648,137749,27147973321,54843
ADD_15,7,6164.91,19,225,27139867622,5764645665,6223728,5725774422,10986145,479,4006259288,3824457,5729580325,141533,27151249584,54299
