program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns
SUB_30,5,706,1414000,46.86
SUB_30,6,707,1373600,39.48
SUB_30,7,714,1368550,44.85
SUB_30,8,699,1363500,42.45
SUB_30,9,714,1419050,46.23
SUB_30,10,715,1393800,37.67
DIV_40,1,843,1146350,33.6
DIV_40,2,859,1186750,40.5
DIV_40,3,860,1176650,46.2
DIV_40,4,865,1181700,44.07
DIV_40,5,860,1166550,35.34
DIV_40,6,876,1161500,45.83
DIV_40,7,846,1171600,39.67
DIV_40,8,855,1186750,44.41
DIV_40,9,858,1191800,41.62
DIV_40,10,837,1201900,33.1
DIV_45,1,875,1166550,33.24
DIV_45,2,870,1116050,41.88
DIV_45,3,890,1116050,43.66
DIV_45,4,864,1116050,42.05
DIV_45,5,895,1126150,31.3
DIV_45,6,879,1136250,38.74
DIV_45,7,883,1146350,41.31
DIV_45,8,864,1126150,37.8
DIV_45,9,900,1100900,44.71
DIV_45,10,894,1100900,46.56
DIV_5,1,682,1469550,41.64
DIV_5,2,668,1434200,41.32
DIV_5,3,674,1459450,41.11
DIV_5,4,675,1479650,42.93
DIV_5,5,664,1469550,42.05
DIV_5,6,679,1424100,42.68
DIV_5,7,657,1434200,34.56
DIV_5,8,676,1484700,42.66
DIV_5,9,680,1479650,45.02
DIV_5,10,661,1454400,44.8
DIV_10,1,734,1353400,39.12
DIV_10,2,731,1363500,36.0
DIV_10,3,736,1307950,38.21
DIV_10,4,731,1343300,27.9
DIV_10,5,729,1383700,38.4
DIV_10,6,751,1358450,31.18
DIV_10,7,730,1353400,33.08
DIV_10,8,738,1343300,47.24
DIV_10,9,733,1363500,23.75
DIV_10,10,734,1313000,40.15
DIV_25,1,742,1338250,23.9
DIV_25,2,783,1297850,48.02
DIV_25,3,780,1237250,47.85
DIV_25,4,770,1247350,29.21
DIV_25,5,756,1307950,29.92
DIV_25,6,772,1257450,33.51
DIV_25,7,791,1302900,38.76
DIV_25,8,777,1287750,44.33
DIV_25,9,771,1252400,42.55
DIV_25,10,778,1318050,47.23
DIV_15,1,748,1302900,49.92
DIV_15,2,736,1348350,32.53
DIV_15,3,729,1358450,41.42
DIV_15,4,721,1277650,30.14
DIV_15,5,725,1343300,38.3
DIV_15,6,718,1348350,45.08
DIV_15,7,729,1398850,42.44
DIV_15,8,726,1353400,36.86
DIV_15,9,727,1267550,34.58
DIV_15,10,715,1297850,34.7
DIV_35,1,829,1206950,44.11
DIV_35,2,832,1191800,44.9
