program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns,mem_allocs,mem_alloc_bytes
ADD_20,2,12884.055944055945,286,1097.5533469908696,1,38592
ADD_20,3,14437.171717171717,297,3768.4200289156356,1,38592
ADD_20,4,13964.46875,288,1369.1934154005169,1,38592
ADD_20,5,13677.787719298245,285,1550.490196687715,1,38592
ADD_20,6,13495.137152777777,288,1096.2695674755594,1,38592
ADD_20,7,12779.586572438162,283,1205.9224657353225,1,38592
ADD_20,8,13950.79094076655,287,1377.760929885023,1,38592
ADD_20,9,12850.131672597865,281,1197.5131420813505,1,38592
ADD_20,10,13392.423875432525,289,1045.6470988321253,1,38592
ADD_0,1,13021.340350877193,285,1272.1772896450434,1,38592
ADD_0,2,11448.875850340137,294,953.1257293956365,1,38592
ADD_0,3,11728.397163120568,282,1154.7468911520718,1,38592
ADD_0,4,11504.625886524822,282,848.9639253535469,1,38592
ADD_0,5,11470.67793594306,281,1124.5562936160372,1,38592
ADD_0,6,12370.953125,288,1400.5098171005723,1,38592
ADD_0,7,12431.478947368421,285,760.0967411410564,1,38592
ADD_0,8,11582.25,280,892.1099742146088,1,38592
ADD_0,9,12771.017361111111,288,1268.9248458856434,1,38592
ADD_0,10,12026.618466898955,287,1115.4438907130693,1,38592
ADD_50,1,15227.747386759582,287,1318.6391095266426,1,38592
ADD_50,2,14107.335740072202,277,1026.92459959191,1,38592
ADD_50,3,15613.896551724138,290,2176.7322035903358,1,38592
ADD_50,4,14399.575971731449,283,1177.0793041918485,1,38592
ADD_50,5,14073.70744680851,282,1066.9283581400502,1,38592
ADD_50,6,14631.940972222223,288,1020.4365969622794,1,38592
ADD_50,7,14433.894642857143,280,1094.4500495240052,1,38592
ADD_50,8,15813.950704225352,284,2130.32006653943,1,38592
ADD_50,9,14205.496527777777,288,988.7618449609693,1,38592
ADD_50,10,15596.974048442906,289,1626.7633147254944,1,38592
ADD_30,1,13944.96875,288,1150.3893526902536,1,38592
ADD_30,2,13196.654804270464,281,1238.47027044313,1,38592
ADD_30,3,13004.625899280576,278,1122.9462072838396,1,38592
ADD_30,4,14705.421602787457,287,1602.2135900257356,1,38592
ADD_30,5,12911.003546099291,282,1210.1809407026906,1,38592
ADD_30,6,14722.423076923076,286,1459.9141452859265,1,38592
ADD_30,7,13751.798913043478,276,1135.6259781038248,1,38592
ADD_30,8,14852.164335664336,286,1775.9467416111838,1,38592
ADD_30,9,13977.977586206896,290,1103.3854479408897,1,38592
ADD_30,10,15132.232394366198,284,1571.596527001087,1,38592
MUL_40,1,16339.11921708185,281,1252.1165726997565,1,38592
MUL_40,2,15445.313588850175,287,1033.0712134637304,1,38592
MUL_40,3,16401.8062283737,289,1338.5714317686532,1,38592
MUL_40,4,17330.85714285714,280,1732.1261944078478,1,38592
MUL_40,5,17228.975352112677,284,1725.0270196352315,1,38592
MUL_40,6,15987.523550724638,276,1277.9310418113982,1,38592
MUL_40,7,17404.887900355872,281,2060.3528154167993,1,38592
MUL_40,8,15554.372727272726,275,1206.9449587191505,1,38592
MUL_40,9,16887.621951219513,287,1389.266597572922,1,38592
MUL_40,10,17213.5,282,1655.1746577587612,1,38592
MUL_45,1,16583.521505376346,279,1125.7867934081096,1,38592
MUL_45,2,17066.121527777777,288,1243.6832334559872,1,38592
MUL_45,3,15866.878136200718,279,1031.960306903251,1,38592
MUL_45,4,17706.22299651568,287,1574.5501224827906,1,38592
MUL_45,5,16110.81090909091,275,1240.3588840309185,1,38592
MUL_45,6,18052.60777385159,283,1877.8532281097832,1,38592
MUL_45,7,17488.374558303887,283,1755.7751513955957,1,38592
MUL_45,8,17481.68374558304,283,1808.1714887655162,1,38592
MUL_45,9,16603.32472324723,271,946.5366223752823,1,38592
MUL_45,10,17263.742160278747,287,1562.6643817530091,1,38592
MUL_5,1,13507.060553633219,289,1360.5855640310508,1,38592
MUL_5,2,13871.825088339223,283,1494.3896997750876,1,38592
MUL_5,3,12613.052346570397,277,1053.1332727554907,1,38592
MUL_5,4,12909.285714285714,280,1058.593296567252,1,38592
MUL_5,5,13629.194444444445,288,1330.595639736095,1,38592
MUL_5,6,12456.173144876326,283,1085.6750727227575,1,38592
MUL_5,7,12688.59298245614,285,1136.3100877152935,1,38592
MUL_5,8,14361.738515901061,283,1761.6148465410422,1,38592
MUL_5,9,13738.54006968641,287,1073.8057983730469,1,38592
MUL_5,10,14126.835689045936,283,1759.508916728761,1,38592
MUL_10,1,13737.842857142858,280,1270.0145987162439,1,38592
MUL_10,2,13181.264492753624,276,1190.2232948515914,1,38592
MUL_10,3,12959.077060931899,279,1030.0469205859492,1,38592
MUL_10,4,13346.891156462585,294,1054.3795767497193,1,38592
MUL_10,5,13940.731316725978,281,1185.1560836995461,1,38592
MUL_10,6,14057.670175438596,285,1556.505239826504,1,38592
MUL_10,7,14372.851449275362,276,1560.7151448316833,1,38592
MUL_10,8,13988.713286713286,286,1133.124736462958,1,38592
MUL_10,9,13907.975265017667,283,840.1879915162672,1,38592
MUL_10,10,13880.498251748251,286,1311.0665609304187,1,38592
MUL_25,1,15775.722413793104,290,1609.1520692656231,1,38592
MUL_25,2,15564.323943661971,284,1471.9870511620106,1,38592
MUL_25,3,14185.094890510949,274,1043.2063379266258,1,38592
MUL_25,4,15411.741935483871,279,1444.5871923095292,1,38592
