program_id,sample_id,total_time_ns,iterations_count,margin_of_error
DIV_5,3,81905.86174442376,1221,±3.73%
DIV_5,4,83440.97630593853,1199,±5.14%
DIV_5,5,83167.14825079228,1203,±4.97%
DIV_5,6,85926.95386958696,1164,±6.14%
DIV_5,7,84688.07255810013,1187,±5.14%
DIV_5,8,83482.79644133453,1198,±5.27%
DIV_5,9,88075.00651184942,1136,±6.17%
DIV_5,10,82695.41086244189,1210,±3.94%
DIV_10,1,84511.03519748995,1184,±5.13%
DIV_10,2,83842.80592477931,1193,±4.90%
DIV_10,3,85921.64475483583,1164,±4.90%
DIV_10,4,84636.28804421466,1182,±5.25%
DIV_10,5,83299.9528794364,1201,±4.84%
DIV_10,6,86744.27704095634,1153,±4.95%
DIV_10,7,84073.38033586541,1192,±4.50%
DIV_10,8,82896.67282293494,1211,±4.75%
DIV_10,9,83883.14642830247,1193,±4.99%
DIV_10,10,85433.79707890225,1171,±5.34%
DIV_25,1,87444.27874371722,1144,±4.87%
DIV_25,2,87788.45369295716,1146,±4.88%
DIV_25,3,91462.17617427857,1097,±5.83%
DIV_25,4,85915.23449035855,1164,±4.20%
DIV_25,5,87056.35170401233,1149,±4.74%
DIV_25,6,87351.49000409388,1145,±4.63%
DIV_25,7,90117.6865036423,1110,±5.41%
DIV_25,8,87064.55214112817,1149,±4.67%
DIV_25,9,86169.13525222396,1161,±4.43%
DIV_25,10,90836.39590118713,1101,±5.63%
DIV_15,1,83495.81990695756,1198,±4.76%
DIV_15,2,86864.76945877075,1152,±5.23%
DIV_15,3,84763.43963105799,1180,±4.60%
DIV_15,4,84218.7797983086,1188,±4.76%
DIV_15,5,85806.85806928737,1166,±5.38%
DIV_15,6,88460.3066954541,1131,±5.62%
DIV_15,7,82645.84501912771,1210,±4.24%
DIV_15,8,83943.4118078859,1192,±4.86%
DIV_15,9,84602.53668718936,1182,±4.94%
DIV_15,10,85163.41189120678,1175,±4.13%
DIV_35,1,87683.55480732361,1141,±4.73%
DIV_35,2,88614.5930463387,1129,±4.88%
DIV_35,3,92990.37890806518,1076,±5.70%
DIV_35,4,87600.54767027419,1142,±4.36%
DIV_35,5,86551.15807345169,1156,±4.55%
DIV_35,6,88517.84900226424,1130,±4.97%
DIV_35,7,89745.11527159822,1115,±5.12%
DIV_35,8,87622.16651502298,1142,±4.72%
DIV_35,9,86885.19541643476,1151,±4.69%
DIV_35,10,91987.82023261576,1088,±6.61%
DIV_20,1,85521.06870274966,1176,±5.20%
DIV_20,2,86265.8796639278,1160,±5.25%
DIV_20,3,87135.06904628634,1148,±4.64%
DIV_20,4,85263.75226657408,1173,±5.16%
DIV_20,5,84331.9048567928,1186,±4.78%
DIV_20,6,88280.08774625235,1133,±5.62%
DIV_20,7,82719.76341582015,1209,±3.78%
DIV_20,8,85154.52283494016,1175,±5.19%
DIV_20,9,86024.95267282553,1163,±5.26%
DIV_20,10,85328.65869307274,1172,±4.01%
DIV_0,1,80792.7675509106,1238,±4.81%
DIV_0,2,84539.48278096602,1183,±5.64%
DIV_0,3,79764.69925145785,1254,±4.07%
DIV_0,4,80929.03087825837,1236,±4.81%
DIV_0,5,81368.73423713703,1229,±4.89%
DIV_0,6,83373.15241495769,1200,±5.83%
DIV_0,7,80672.01798962007,1240,±4.71%
DIV_0,8,84623.87575514223,1182,±5.50%
DIV_0,9,87186.43920153457,1147,±8.93%
DIV_0,10,80661.47647229543,1245,±4.77%
DIV_50,1,92052.5053387513,1087,±4.68%
DIV_50,2,92858.73512260983,1077,±5.11%
DIV_50,3,94474.26656375412,1059,±5.26%
DIV_50,4,92903.34188089008,1081,±4.16%
DIV_50,5,91362.00647920233,1095,±4.64%
DIV_50,6,92068.40985393786,1087,±4.75%
DIV_50,7,95823.9456702923,1044,±5.26%
DIV_50,8,89983.00703309423,1112,±3.37%
DIV_50,9,92431.27114230735,1082,±4.76%
DIV_50,10,92389.88254649268,1083,±4.84%
DIV_30,1,87150.1683358116,1148,±4.45%
DIV_30,2,88012.39335757133,1137,±4.72%
DIV_30,3,90063.11737087966,1113,±5.23%
